latitude,longitude
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
3.27E+01,-1.17E+02
